Period,Cs,Cb,MStart,MEnd,P,Po,R,S
0,0.0,100.0,100.0,0.0,5.0,1.0,3.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,60.0,60.0,60.0,0.0,0.0,0.0,4.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,83.0,80.0,83.0,3.0,6.0,1.0,1.0,0.0
5,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
6,172.0,175.0,175.0,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,33.0,30.0,33.0,3.0,0.0,0.0,2.0,0.0
9,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
10,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
11,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
12,550.0,550.0,553.0,3.0,1.0,0.0,1.0,3.0
13,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
14,12.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,37.0,35.0,37.0,2.0,0.0,1.0,2.0,0.0
17,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
18,1508.0,1510.0,1510.0,0.0,11.0,0.0,0.0,8.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,190.0,190.0,190.0,0.0,0.0,0.0,1.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4025.0,4025.0,4025.0,0.0,0.0,0.0,0.0,23.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,500.0,500.0,500.0,0.0,0.0,0.0,10.0,2.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,11750.0,11750.0,11750.0,0.0,0.0,5.0,0.0,67.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1000.0,1000.0,1000.0,0.0,0.0,2.0,31.0,3.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,40.0,40.0,40.0,0.0,1.0,0.0,2.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,34303.0,34300.0,34303.0,3.0,0.0,0.0,0.0,196.0
37,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
38,1550.0,1550.0,1553.0,3.0,1.0,0.0,56.0,4.0
39,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
40,12.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,99400.0,99400.0,99400.0,0.0,0.0,0.0,0.0,568.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2025.0,2025.0,2025.0,0.0,0.0,0.0,65.0,6.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,285625.0,285625.0,285625.0,0.0,0.0,2.0,1.0,1632.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,3000.0,3000.0,3000.0,0.0,0.0,1.0,13.0,16.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,41.0,40.0,41.0,1.0,4.0,0.0,0.0,0.0
53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
54,816381.0,816380.0,816382.0,2.0,0.0,1.0,0.0,4665.0
55,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
56,8000.0,8000.0,8002.0,2.0,0.0,1.0,533.0,0.0
57,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
58,8.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2345845.0,0.0,2345845.0,2345845.0,0.0,0.0,0.0,0.0
